Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11245082,0,"Friday, February 15, 2013 20:38:58 UTC",36.2900,-118.0655,1.8,1.80,12,"Central California"
nc,71938105,0,"Friday, February 15, 2013 20:27:53 UTC",36.7088,-121.3485,1.4,3.20,15,"Central California"
pr,13046005,0,"Friday, February 15, 2013 20:13:05 UTC",18.5939,-68.4542,3.2,135.00, 8,"Dominican Republic"
nn,00403270,9,"Friday, February 15, 2013 20:10:24 UTC",38.6315,-117.3047,1.7,21.50, 8,"Nevada"
ci,11245050,0,"Friday, February 15, 2013 19:57:09 UTC",33.8808,-116.9922,1.4,16.40,47,"Southern California"
us,c000f819,8,"Friday, February 15, 2013 19:55:30 UTC",-17.7525,-178.7816,5.5,546.70,73,"Fiji region"
us,c000f80h,6,"Friday, February 15, 2013 19:32:44 UTC",54.2966,-161.5212,4.2,10.10,40,"Alaska Peninsula"
ak,10656656,1,"Friday, February 15, 2013 19:28:57 UTC",62.2090,-148.9444,1.8,33.70,13,"Central Alaska"
nn,00403268,9,"Friday, February 15, 2013 19:28:30 UTC",38.0204,-118.0641,1.6,7.10,18,"Nevada"
ak,10656651,1,"Friday, February 15, 2013 19:26:52 UTC",61.2779,-149.9568,2.1,41.40,15,"Southern Alaska"
nn,00403264,9,"Friday, February 15, 2013 19:14:59 UTC",39.5308,-119.1740,1.5,0.80,18,"Nevada"
ak,10656646,1,"Friday, February 15, 2013 19:09:04 UTC",63.4053,-151.2281,1.4,10.90,10,"Central Alaska"
ak,10656644,1,"Friday, February 15, 2013 19:02:33 UTC",60.5250,-147.2635,2.0,13.50, 7,"Southern Alaska"
us,c000f7yu,7,"Friday, February 15, 2013 18:33:44 UTC",4.4824,94.8752,4.8,35.60,68,"off the west coast of northern Sumatra"
nc,71938025,1,"Friday, February 15, 2013 18:32:07 UTC",40.3817,-124.3098,2.9,26.30,14,"Northern California"
us,c000f7ya,7,"Friday, February 15, 2013 18:27:46 UTC",32.7777,95.3401,4.5,43.00,54,"southern Qinghai, China"
ak,10656623,1,"Friday, February 15, 2013 18:08:45 UTC",58.3073,-155.8142,2.7,117.20, 4,"Alaska Peninsula"
us,c000f7xl,4,"Friday, February 15, 2013 17:50:36 UTC",52.6930,-34.5558,4.7,15.00,121,"Reykjanes Ridge"
nc,71937945,1,"Friday, February 15, 2013 17:25:41 UTC",38.8007,-122.8040,1.4,1.90,26,"Northern California"
ak,10656608,1,"Friday, February 15, 2013 17:24:39 UTC",63.3260,-144.9317,1.9,0.00,15,"Central Alaska"
nn,00403250,9,"Friday, February 15, 2013 17:20:17 UTC",37.9165,-118.1032,1.5,9.90,17,"Nevada"
uu,60013357,2,"Friday, February 15, 2013 17:14:27 UTC",44.6542,-109.8927,1.4,9.30,13,"Yellowstone National Park, Wyoming"
nn,00403244,9,"Friday, February 15, 2013 16:53:17 UTC",38.0279,-118.0379,1.7,9.10,16,"Nevada"
ak,10656593,1,"Friday, February 15, 2013 16:40:02 UTC",61.1376,-151.0829,2.1,54.30,15,"Southern Alaska"
us,c000f7vv,6,"Friday, February 15, 2013 16:32:57 UTC",67.7112,142.0953,4.8,15.40,73,"northeastern Sakha, Russia"
pr,13046004,0,"Friday, February 15, 2013 16:25:37 UTC",18.3269,-66.3304,2.4,57.00, 9,"Puerto Rico"
ak,10656580,1,"Friday, February 15, 2013 16:17:12 UTC",64.4391,-148.1546,3.0,23.20,30,"Central Alaska"
nn,00403241,9,"Friday, February 15, 2013 16:16:24 UTC",37.5326,-117.8245,1.4,10.00,11,"Nevada"
ak,10656577,1,"Friday, February 15, 2013 16:11:02 UTC",58.9182,-151.2353,2.8,37.80,12,"Kodiak Island region, Alaska"
hv,60450327,1,"Friday, February 15, 2013 15:46:00 UTC",19.3585,-155.2132,2.0,3.00,19,"Island of Hawaii, Hawaii"
ci,11244986,0,"Friday, February 15, 2013 15:09:43 UTC",34.2038,-118.6377,1.9,5.20,22,"Greater Los Angeles area, California"
ci,11244978,0,"Friday, February 15, 2013 15:00:40 UTC",34.0188,-116.4188,1.0,6.60,24,"Southern California"
ak,10656555,1,"Friday, February 15, 2013 14:58:50 UTC",61.7252,-150.7656,2.0,92.30,16,"Southern Alaska"
us,c000f7us,6,"Friday, February 15, 2013 14:42:55 UTC",40.4012,23.9267,4.7,10.00,83,"Greece"
nn,00403235,9,"Friday, February 15, 2013 14:35:31 UTC",38.0411,-118.0369,1.7,8.90,13,"Nevada"
ci,11244962,0,"Friday, February 15, 2013 14:31:05 UTC",33.4618,-116.3850,1.5,10.50,22,"Southern California"
nc,71937885,1,"Friday, February 15, 2013 14:16:46 UTC",38.8238,-122.8550,1.8,2.50,37,"Northern California"
nn,00403229,9,"Friday, February 15, 2013 12:59:58 UTC",38.0380,-118.0020,1.0,6.40, 9,"Nevada"
hv,60450262,1,"Friday, February 15, 2013 12:59:04 UTC",19.3700,-155.5012,1.8,8.40,34,"Island of Hawaii, Hawaii"
us,c000f7tm,4,"Friday, February 15, 2013 12:39:54 UTC",67.7351,142.2047,4.5,10.00,80,"northeastern Sakha, Russia"
nn,00403228,9,"Friday, February 15, 2013 12:39:16 UTC",38.0357,-118.0338,1.0,9.30,11,"Nevada"
nc,71937835,0,"Friday, February 15, 2013 12:37:56 UTC",38.8257,-122.8310,1.0,2.30,18,"Northern California"
